src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.3,162.247.243.29,54413,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:32,1675568.8190460205,4838.953737881242,10.14580828120142,4.177685762847644,5.968122518353777,7,10,2199,5909,1414.0,54.0,314.14285714285717,468.67363867817096,1466.0,54.0,590.9,657.9569058836605,1466,54,476.94117647058823,603.033846536995,363649.8200692041,140,200,20,3,104723.05119037628,1007921.9341278076,0.0,248230.08184139564,1675568.8190460205,1217942.9531097412,0.0,279261.4698410034,431473.100681965,1434410.810470581,1216801.8817901611,0.0,159378.97894117568,379962.7956954809,0,0,0,0,1,0,0,0,0,0,0,1.4285714285714286,476.94117647058823,255,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,4.0,0.0,0.0,314.14285714285717,590.9,0,7,10,2199,5909
162.247.243.29,192.168.1.3,443,54401,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:33,421494.0071105957,16408.299722717795,35.58769459814444,18.980103785677034,16.607590812467404,8,7,1361,5555,509.0,54.0,170.125,182.020903675924,1414.0,54.0,793.5714285714286,610.9509817005096,1414,54,461.06666666666666,537.2133612965667,288598.1955555556,160,140,20,4,30106.714793613977,160370.8267211914,0.0,58025.461347428776,421494.0071105957,162400.0072479248,0.0,60213.429587227954,71606.20529678617,258816.00379943848,256780.14755249023,0.0,43136.000633239746,95546.69666439125,0,0,0,0,1,0,0,0,0,0,0,0.875,461.06666666666666,315,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5177.0,5.0,0.0,21225720.242424242,170.125,793.5714285714286,0,8,7,1361,5555
192.168.1.3,46.166.162.84,62193,3478,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,17,2025-07-03 20:12:33,46271733.99925232,10.589618275552795,0.15128026107932566,0.15128026107932566,0.0,7,0,490,0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,70,70,70.0,0.0,0.0,56,0,8,7,7711955.666542053,22916726.112365723,233396.05331420898,10547533.587628337,46271733.99925232,22916726.112365723,233396.05331420898,7711955.666542053,10547533.587628337,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,70.0,0,0,0.0,0.0,0.0,0.0,22336328.02963257,580398.0827331543,11458363.056182861,10877964.973449707,112.0,4.0,0.0,0.0,151.3476922283866,0.0,70.0,0.0,0,7,0,490,0
162.247.243.29,192.168.1.3,443,54397,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:33,200939.89372253418,3946.453764402832,29.85967539270743,19.906450261804952,9.953225130902476,4,2,685,108,453.0,54.0,171.25,163.47992996083647,54.0,54.0,54.0,0.0,453,54,132.16666666666666,144.47193114542662,20872.138888888894,80,40,20,3,40187.978744506836,199621.91581726074,0.0,79718.14041623354,200939.89372253418,200939.89372253418,0.0,66979.96457417806,94723.97430807208,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,132.16666666666666,331,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.25,54.0,0,4,2,685,108
162.247.243.29,192.168.1.3,443,54414,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:33,1534112.9302978516,2609.9773497265383,11.081322413923864,7.1702674443036765,3.9110549696201873,11,6,2620,1384,1466.0,54.0,238.1818181818182,405.50637663001464,1050.0,54.0,230.66666666666666,367.16148430296386,1466,54,235.52941176470588,392.4174124647584,153991.42560553632,220,120,20,5,95882.05814361572,1116886.854171753,0.0,268863.2812763636,1533868.0744171143,1274021.1486816406,0.0,153386.80744171143,376787.28736171284,1533962.0113372803,1116886.854171753,218.86825561523438,306792.40226745605,416831.91402388253,0,0,0,0,1,0,0,0,0,0,0,0.5454545454545454,235.52941176470588,283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.1818181818182,230.66666666666666,0,11,6,2620,1384
162.247.243.29,192.168.1.3,443,54415,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:33,1533486.1278533936,7543.596117294606,16.954832213836426,11.085851832123817,5.868980381712609,17,9,7109,4459,1466.0,54.0,418.1764705882353,556.3184905930941,1202.0,54.0,495.44444444444446,484.10814014848444,1466,54,444.9230769230769,533.699492157332,284835.1479289941,340,180,20,8,61339.44511413574,701913.1183624268,0.0,145006.15766609646,1533042.1924591064,858848.0949401855,0.0,95815.13702869415,210347.88794927858,1527744.0547943115,701913.1183624268,185.96649169921875,190968.00684928894,236899.94749213997,0,0,0,0,1,0,0,0,0,0,0,0.5294117647058824,444.9230769230769,283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,4.0,0.0,0.0,0.0,0.0,418.1764705882353,495.44444444444446,0,17,9,7109,4459
129.80.246.81,192.168.1.3,443,62174,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:33,45997884.98878479,102.4394926233865,1.347888060834033,0.7391644204573729,0.60872364037666,34,28,1956,2756,78.0,54.0,57.529411764705884,8.49994911444162,102.0,82.0,98.42857142857143,7.659860924831149,102,54,76.0,21.91773475462721,480.38709677419354,680,560,20,5,754063.6883407342,1708811.9983673096,211.95411682128906,654572.8279281761,45997884.98878479,2013006.9255828857,302875.9956359863,1393875.3026904482,700716.6243335642,43995539.90364075,2010207.176208496,596107.9597473145,1629464.4408755833,540111.5691571676,0,0,0,0,1,0,0,0,0,0,0,0.8235294117647058,76.0,103,250,623149.8718261719,15864.133834838867,446389.16424342565,271265.97155840276,1701689.0048980713,7243.871688842773,438839.1971588135,492652.73102261074,0.0,0.0,0.0,0.0,0.0,0.0,57.529411764705884,98.42857142857143,0,34,28,1956,2756
192.168.1.3,172.31.216.43,54417,1521,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:33,15031199.216842651,21.954336127102273,0.33264145647124654,0.33264145647124654,0.0,5,0,330,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,100,0,20,0,3757799.804210663,8004227.161407471,1007251.0242462158,2679304.397202167,15031199.216842651,8004227.161407471,1007251.0242462158,3757799.804210663,2679304.397202167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,65535,0,0.0,0.0,0.0,0.0,3994817.2569274902,1003060.1024627686,2001056.7903518677,1220525.6983852864,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,5,0,330,0
192.155.100.150,192.168.1.3,9075,51078,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:34,45890763.998031616,9.413658923144746,0.17432701709527307,0.08716350854763653,0.08716350854763653,4,4,216,216,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,80,80,20,0,6555823.428290231,15298102.855682373,74.86343383789062,7569913.619728032,45890683.88938904,15298184.871673584,15296138.048171997,15296894.629796347,916.8666063636849,45890689.13459778,15298182.964324951,15296169.996261597,15296896.378199259,912.279801828066,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,109,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,4,4,216,216
192.168.1.3,172.64.155.209,54404,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:34,13784.88540649414,12042.174824449134,217.62966550209276,145.08644366806186,72.54322183403093,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,6892.44270324707,13756.990432739258,27.894973754882812,6864.5477294921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,253,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
192.168.1.3,35.190.43.134,54412,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:34,12750.864028930664,13018.72560348535,235.27817355696416,156.85211570464278,78.42605785232139,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,6375.432014465332,12710.809707641602,40.0543212890625,6335.3776931762695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,252,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
192.168.1.7,224.0.0.251,5353,5353,68:39:43:9a:2e:bf,01:00:5e:00:00:fb,17,2025-07-03 20:12:35,31446151.971817017,31.673191711744096,0.12720157313953454,0.12720157313953454,0.0,4,0,996,0,417.0,82.0,249.0,162.09410846788973,0.0,0.0,0.0,0.0,417,82,249.0,162.09410846788973,26274.5,32,0,8,4,10482050.657272339,24267375.946044922,0.0,10178739.322561994,31446151.971817017,24267375.946044922,0.0,10482050.657272339,10178739.322561994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,249.0,0,0,0.0,0.0,0.0,0.0,17088599.920272827,7178776.025772095,12133687.973022461,4954911.947250366,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0,4,0,996,0
192.155.100.150,192.168.1.3,7073,62420,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-07-03 20:12:35,29883658.88595581,12.715979708180434,0.23424173146648167,0.13385241798084668,0.100389313485635,4,3,217,163,55.0,54.0,54.25,0.4330127018922193,55.0,54.0,54.333333333333336,0.4714045207910317,55,54,54.285714285714285,0.45175395145262565,0.20408163265306123,80,60,20,1,4980609.814325969,15298267.126083374,68.90296936035156,6945612.53766673,29883658.88595581,15298336.029052734,296639.91928100586,9961219.628651937,6846309.251966693,29587214.946746826,15298380.136489868,14288834.810256958,14793607.473373413,504772.6631164551,0,0,0,0,1,0,0,0,0,0,0,0.75,54.285714285714285,67,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25,54.333333333333336,0,4,3,217,163
192.168.1.3,13.67.9.5,54425,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:41,429264.0686035156,26701.512747825003,55.90964107030188,25.625252157221695,30.284388913080186,11,13,4094,7368,1466.0,54.0,372.1818181818182,456.9342141195577,1466.0,54.0,566.7692307692307,614.0515079680774,1466,54,477.5833333333333,556.1795211280457,309335.65972222225,220,260,20,5,18663.65515667459,86859.94148254395,0.0,31756.712583096407,429264.0686035156,89577.91328430176,0.0,42926.40686035156,36894.6839646047,352009.0579986572,103943.1095123291,0.0,29334.088166554768,41505.78383595428,0,0,0,0,1,0,0,0,0,0,0,1.1818181818181819,477.5833333333333,65535,16386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.0,5.0,0.0,0.0,372.1818181818182,566.7692307692307,0,11,13,4094,7368
192.168.1.3,40.79.141.154,54411,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:41,153522.01461791992,1055.2232551349707,19.541171391388346,13.027447594258897,6.513723797129448,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,40,20,20,0,76761.00730895996,153297.18589782715,224.82872009277344,76536.17858886719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.0,254,16386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,2,1,108,54
192.168.1.3,162.247.243.29,54426,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-07-03 20:12:42,2275939.94140625,2802.3586580492906,9.666335916758293,4.393789053071951,5.272546863686342,10,12,3736,2642,1414.0,54.0,373.6,505.1461570674373,1466.0,54.0,220.16666666666666,389.0901423692058,1466,54,289.90909090909093,452.10768116887897,204401.35537190072,200,240,20,4,108378.09244791667,1311794.0425872803,0.0,282049.91093765956,2275717.9737091064,1311794.0425872803,0.0,252857.55263434516,391824.0317056027,2064281.940460205,1521379.9476623535,0.0,187661.99458729138,430349.9004539892,0,0,0,0,1,0,0,0,0,0,0,1.2,289.90909090909093,65535,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.6,220.16666666666666,0,10,12,3736,2642
