src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.3,35.190.43.134,60352,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:34,4933829.069137573,3736.6515421707927,10.539481459800458,5.269740729900229,5.269740729900229,26,26,15488,2948,1466.0,54.0,595.6923076923077,620.5173256882437,702.0,54.0,113.38461538461539,133.45932163975803,1466,54,354.53846153846155,509.49165696869863,259581.74852071007,520,520,20,21,96741.7464536779,2419962.8829956055,0.0,394961.6819598355,4933829.069137573,2435314.893722534,0.0,197353.16276550293,551527.5975824519,3418444.1566467285,2434870.0046539307,0.0,136737.76626586914,482441.58419871243,0,0,0,0,1,0,0,0,0,0,0,1.0,354.53846153846155,255,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6072.0,7.0,0.0,0.0,326495.78400969185,0.0,595.6923076923077,113.38461538461539,0,26,26,15488,2948
162.247.241.14,192.168.1.3,443,60357,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4942664.861679077,3085.7847794314603,6.271920283397277,3.0348001371277147,3.2371201462695622,15,16,6457,8795,1470.0,58.0,430.46666666666664,511.1282770064238,1466.0,54.0,549.6875,553.6639006145787,1470,54,492.0,536.8222508729106,288178.12903225806,300,320,20,6,164755.49538930258,3140655.994415283,0.0,592220.6336525384,4942558.05015564,3203316.9269561768,0.0,353039.86072540283,850199.9214320456,4942422.866821289,3140655.994415283,0.0,329494.85778808594,807681.2852285443,0,0,0,0,1,0,0,0,0,0,0,1.0666666666666667,492.0,65535,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,4.0,4616.0,5.0,4957764.237813469,11600303.932893949,430.46666666666664,549.6875,0,15,16,6457,8795
162.247.241.14,192.168.1.3,443,60353,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4943240.8809661865,1562.3353556848099,3.236742935511713,1.6183714677558565,1.6183714677558565,8,8,5603,2120,1470.0,58.0,700.375,561.4913039175228,1003.0,54.0,265.0,354.28695996324785,1470,54,482.6875,517.4782264441181,267783.71484375,160,160,20,5,329549.3920644124,4613848.924636841,53.882598876953125,1146192.476252175,4943096.876144409,4675902.843475342,201.94053649902344,706156.6965920584,1622116.5677601104,4942822.9331970215,4613848.924636841,187.87384033203125,706117.5618852888,1598852.1058917989,0,0,0,0,1,0,0,0,0,0,0,1.0,482.6875,17,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,4.0,0.0,0.0,5060427.172850158,0.0,700.375,265.0,0,8,8,5603,2120
162.247.241.14,192.168.1.3,443,60355,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4940021.03805542,2744.320296525812,4.655850617400138,2.2267111648435445,2.429139452556594,11,12,5777,7780,1470.0,58.0,525.1818181818181,557.7957948571596,1466.0,54.0,648.3333333333334,636.6374338838569,1470,54,589.4347826086956,603.3682865588419,364053.2892249527,220,240,20,5,224546.4108207009,4598851.919174194,0.0,955999.3698745987,4939620.018005371,4663732.051849365,0.0,493962.0018005371,1391899.7015250744,4934813.022613525,4598851.919174194,0.0,448619.3656921387,1315620.4729607382,0,0,0,0,1,0,0,0,0,0,0,1.0909090909090908,589.4347826086956,17,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,4.0,7132.0,7.0,12594921.460272012,8731399.920607122,525.1818181818181,648.3333333333334,0,11,12,5777,7780
162.247.241.14,192.168.1.3,443,60356,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4938848.01864624,1968.4752321382107,4.454480056268323,2.4297163943281763,2.024763661940147,12,10,6285,3437,1470.0,58.0,523.75,534.0699275375838,1277.0,54.0,343.7,446.8715811058027,1470,54,441.90909090909093,504.3689044097953,254387.9917355372,240,200,20,6,235183.2389831543,3108245.849609375,92.02957153320312,688564.606504117,4938639.879226685,3171561.9564056396,229.12025451660156,448967.26174788043,926621.7616813844,4930191.0400390625,3108245.849609375,115.15617370605469,547799.0044487847,972250.6718643048,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,441.90909090909093,17,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,4.0,0.0,0.0,4434250.322580645,0.0,523.75,343.7,0,12,10,6285,3437
3.111.224.186,192.168.1.3,443,60351,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4924807.071685791,3409.0675544479805,7.7160383029973945,4.264126430603824,3.4519118723935716,21,17,9153,7636,1470.0,58.0,435.85714285714283,529.01348310428,1466.0,54.0,449.1764705882353,588.4752216577943,1470,54,441.8157894736842,556.4402769893242,309625.78185595584,420,340,20,13,133102.8938293457,2482165.0981903076,0.0,441754.9757884392,4298033.952713013,2571542.0246124268,0.0,214901.69763565063,599904.577470344,4922074.07951355,2482165.0981903076,0.0,307629.62996959686,631381.6158579432,0,0,0,0,1,0,0,0,0,0,0,0.8095238095238095,441.8157894736842,11,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6526.0,10.0,0.0,0.0,1099543.1792399776,0.0,435.85714285714283,449.1764705882353,0,21,17,9153,7636
162.247.241.14,192.168.1.3,443,60354,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:34,4928745.0313568115,1917.5266604120275,4.666502294939861,2.434696849533841,2.2318054454060205,12,11,3367,6084,1002.0,58.0,280.5833333333333,305.0853591847516,1466.0,54.0,553.0909090909091,577.1901300966534,1466,54,410.9130434782609,475.84011865911424,226423.81852551992,240,220,20,5,224033.86506167325,1852262.020111084,0.0,447762.1098139357,4928610.08644104,1917491.9128417969,241.99485778808594,448055.4624037309,583688.5198834528,4563338.041305542,1852262.020111084,0.0,456333.8041305542,585444.1166701338,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,410.9130434782609,18,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.5833333333333,553.0909090909091,0,12,11,3367,6084
192.168.1.3,129.80.246.81,51925,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:34,4332939.863204956,108.00980737679413,1.3847411202153093,0.6923705601076546,0.6923705601076546,3,3,306,162,102.0,102.0,102.0,0.0,54.0,54.0,54.0,0.0,102,54,78.0,24.0,576.0,60,60,20,3,866587.9726409912,1690591.0968780518,324308.8722229004,664181.1023418646,4008623.8384246826,2014899.9691009521,1993723.8693237305,2004311.9192123413,10588.04988861084,4008630.9909820557,2014908.0753326416,1993722.915649414,2004315.4954910278,10592.57984161377,0,0,0,0,1,0,0,0,0,0,0,1.0,78.0,510,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,54.0,0,3,3,306,162
192.168.1.3,104.108.153.74,60359,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:34,4585714.101791382,3602.492356326043,6.760124881725626,3.7071652577205043,3.0529596240051213,17,14,11356,5164,1466.0,54.0,668.0,653.6969076405544,1466.0,54.0,368.85714285714283,484.354778050561,1466,54,532.9032258064516,602.0355982850994,362446.86160249746,340,280,20,10,152857.1367263794,3149439.0964508057,0.0,597328.8562875983,4585714.101791382,3149439.0964508057,0.0,286607.13136196136,794649.2135049856,4574427.127838135,3209501.028060913,0.0,351879.0098337027,885888.0759055199,0,0,0,0,1,0,0,0,0,0,0,0.8235294117647058,532.9032258064516,65535,594,0.0,0.0,0.0,0.0,1935613.1553649902,1213825.9410858154,1574719.5482254028,360893.6071395874,8620.0,7.0,0.0,0.0,18418186.693835966,0.0,668.0,368.85714285714283,0,17,14,11356,5164
192.168.1.3,104.108.153.74,60362,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:36,3307740.9267425537,4060.1728785409427,7.860349578709196,4.534817064639921,3.3255325140692755,15,11,11930,1500,1466.0,54.0,795.3333333333334,638.30375910603,391.0,54.0,136.36363636363637,132.9253192430538,1466,54,516.5384615384615,590.3583156256904,348522.9408284023,300,220,20,10,132309.63706970215,3134436.1305236816,0.0,612953.297865725,3307740.9267425537,3134436.1305236816,0.0,236267.20905303955,804172.2611484762,106696.84410095215,64143.89610290527,0.0,10669.684410095215,18880.35849632623,0,0,0,0,1,0,0,0,0,0,0,0.7333333333333333,516.5384615384615,65535,604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8983.0,8.0,0.0,0.0,19441399.81011352,0.0,795.3333333333334,136.36363636363637,0,15,11,11930,1500
