src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
142.250.194.2,192.168.1.3,443,60291,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:23,1299948.9307403564,15252.137627212773,19.23152472286878,11.538914833721268,7.692609889147512,15,10,19224,603,1470.0,58.0,1281.6,479.93566235486185,93.0,54.0,60.3,11.883181392203015,1470,54,793.08,704.4409936964203,496237.11360000004,300,200,20,13,54164.53878084818,1258337.0208740234,0.0,251112.75813016816,1299672.8420257568,1270720.9587097168,0.0,92833.7744304112,326712.48606909876,1299638.9865875244,1269783.9736938477,196.93374633789062,144404.33184305826,397903.6839445126,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,793.08,1039,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18354.0,13.0,0.0,0.0,1216706.7948349165,0.0,1281.6,60.3,0,15,10,19224,603
192.168.1.3,3.111.224.186,60270,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:23,1290063.8580322266,320.91434654365617,5.426087985037665,3.1006217057358083,2.3254662793018563,4,3,216,198,54.0,54.0,54.0,0.0,82.0,58.0,66.0,11.313708498984761,82,54,59.142857142857146,9.493284414763513,90.12244897959184,80,60,20,0,215010.6430053711,1036137.8192901611,105.14259338378906,375365.11709575035,1289918.8995361328,1036242.9618835449,34572.12448120117,429972.96651204425,435266.55932392547,253926.03874206543,253606.08100891113,319.9577331542969,126963.01937103271,126643.06163787842,0,0,0,0,1,0,0,0,0,0,0,0.75,59.142857142857146,255,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,66.0,0,4,3,216,198
192.168.1.3,142.250.194.2,60293,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:23,1246487.8559112549,9024.55643402665,25.672131379576214,12.836065689788107,12.836065689788107,16,16,3535,7714,1466.0,54.0,220.9375,345.3462879397287,1470.0,58.0,482.125,584.7623315288015,1470,54,351.53125,497.6547488203418,247660.2490234375,320,320,20,8,40209.28567455661,1110996.0079193115,0.0,195794.51490767027,1246487.8559112549,1119997.9782104492,0.0,83099.19039408366,277732.7327883875,1237025.9761810303,1120979.0706634521,0.0,82468.39841206868,277941.8433337418,0,0,0,0,1,0,0,0,0,0,0,1.0,351.53125,65535,1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,4.0,5380.0,4.0,322759.4382421692,7281495.811552114,220.9375,482.125,0,16,16,3535,7714
192.168.1.3,35.190.43.134,60268,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:23,1178021.9078063965,9693.368115083196,22.070896837916024,11.035448418958012,11.035448418958012,13,13,10495,924,1466.0,54.0,807.3076923076923,666.6243763706797,144.0,58.0,71.07692307692308,30.670611186159046,1466,54,439.1923076923077,598.4758217101154,358173.30917159776,260,260,20,11,47120.87631225586,787365.9133911133,0.0,154713.02425146822,1178021.9078063965,800300.121307373,0.0,98168.4923171997,217851.07446184848,1159922.1229553223,804636.0015869141,0.0,96660.17691294353,218182.14310124647,0,0,0,0,1,0,0,0,0,0,0,1.0,439.1923076923077,255,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8350.0,8.0,0.0,0.0,80724.7629364988,0.0,807.3076923076923,71.07692307692308,0,13,13,10495,924
150.136.229.233,192.168.1.3,443,60152,54:37:bb:34:77:70,58:1c:f8:e7:a3:e2,6,2025-06-22 01:52:23,0.0,0,0,0,0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,2,0,108,0
192.168.1.3,162.247.241.14,60273,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:23,932812.9291534424,4289.1772561847265,11.792289382162458,6.432157844815887,5.360131537346572,6,5,3261,740,1466.0,54.0,543.5,541.1807307483641,508.0,58.0,148.0,180.0,1466,54,363.72727272727275,461.8008407624716,213260.01652892565,120,100,20,3,93281.29291534424,613266.9448852539,0.0,187585.32675344747,932812.9291534424,613266.9448852539,0.0,186562.58583068848,242978.3860826338,921632.0514678955,676522.970199585,0.0,230408.01286697388,276319.73389292764,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,363.72727272727275,255,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.5,148.0,0,6,5,3261,740
192.168.1.3,162.247.241.14,60234,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:24,11875.152587890625,13978.767748152906,252.6283327979441,168.41888853196275,84.20944426598138,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,5937.5762939453125,11607.170104980469,267.98248291015625,5669.593811035156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,250,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
192.168.1.3,162.247.241.14,60272,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:24,12047.052383422852,13779.304241128857,249.02357062281067,166.01571374854043,83.00785687427022,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,6023.526191711426,11744.022369384766,303.03001403808594,5720.49617767334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,255,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
192.168.1.3,162.247.241.14,60271,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:24,12083.053588867188,13738.24909234412,248.2816101026046,165.52107340173637,82.76053670086819,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,6041.526794433594,11949.06234741211,133.99124145507812,5907.535552978516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,255,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
192.168.1.3,162.247.241.14,60274,443,58:1c:f8:e7:a3:e2,54:37:bb:34:77:70,6,2025-06-22 01:52:24,11853.933334350586,14003.790583076892,253.0805527062089,168.72036847080594,84.36018423540297,2,1,108,58,54.0,54.0,54.0,0.0,58.0,58.0,58.0,0.0,58,54,55.333333333333336,1.8856180831641267,3.5555555555555554,40,20,20,0,5926.966667175293,11579.036712646484,274.89662170410156,5652.070045471191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,55.333333333333336,252,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0,2,1,108,58
